# timestamp, seqNum, imgType, camDevName, exposureTime(s), pathToImage
1.0 10 blur cam0 0.04 /blurred/cam0/10.png
1.0 10 blur cam1 0.04 /blurred/cam1/10.png
1.1 11 rgb cam0 0 /rgb/cam0/11.png
1.1 11 rgb cam1 0 /rgb/cam1/11.png
1.1 11 depth cam0 0 /depth/cam0/11.exr
1.1 11 depth cam1 0 /depth/cam1/11.exr
1.1 11 normal cam0 0 /normal/cam0/11.png
1.1 11 normal cam1 0 /normal/cam1/11.png
1.1 11 blur cam0 0.04 /blurred/cam0/11.png
1.1 11 blur cam1 0.04 /blurred/cam1/11.png
1.2 12 rgb cam0 0 /rgb/cam0/12.png
1.2 12 rgb cam1 0 /rgb/cam1/12.png
1.2 12 depth cam0 0 /depth/cam0/12.exr
1.2 12 depth cam1 0 /depth/cam1/12.exr
1.2 12 normal cam0 0 /normal/cam0/12.png
1.2 12 normal cam1 0 /normal/cam1/12.png
1.2 12 blur cam0 0.04 /blurred/cam0/12.png
1.2 12 blur cam1 0.04 /blurred/cam1/12.png
1.3 13 rgb cam0 0 /rgb/cam0/13.png
1.3 13 rgb cam1 0 /rgb/cam1/13.png
1.3 13 depth cam0 0 /depth/cam0/13.exr
1.3 13 depth cam1 0 /depth/cam1/13.exr
1.3 13 normal cam0 0 /normal/cam0/13.png
1.3 13 normal cam1 0 /normal/cam1/13.png
1.3 13 blur cam0 0.04 /blurred/cam0/13.png
1.3 13 blur cam1 0.04 /blurred/cam1/13.png
